drive_id,sol_start,sol_end,n_segments,n_intermediate,path_m,straight_m,seg_straight_sum_m,excess_m,detour_ratio,wander_ratio,tilt_mean,tilt_max,n_i_rows,n_m_rows,frac_i,flag_zero_distance,flag_short_drive,flag_single_segment,flag_dist_anomaly,flag_impossible
365,1279,1279,1,0,0.0,0.0,0.0,0.0,,,10.77564607,10.77564607,0,0,0.0,True,True,True,False,False
366,1280,1280,2,1,44.663,37.46431087044319,37.61531816990241,7.198689129556804,1.1921479125680672,1.0040306973744004,15.459432204999999,16.2522314,0,1,0.0,False,False,False,False,False
367,1281,1281,2,1,14.084,9.107043977107754,11.429777536498245,4.976956022892246,1.5464952223139308,1.255048022742518,16.939928925,18.27123517,0,1,0.0,False,False,False,False,False
368,1283,1283,1,0,146.395,117.03457662168712,117.03457662168712,29.360423378312888,1.2508696508829191,1.0,13.68793602,13.68793602,0,0,0.0,False,False,True,False,False
369,1284,1284,1,0,29.823,29.409141776723068,29.409141776723068,0.41385822327693234,1.0140724345653804,1.0,14.46280874,14.46280874,0,0,0.0,False,False,True,False,False
370,1285,1285,1,0,38.895,36.03147612787691,36.03147612787691,2.8635238721230962,1.0794728437425198,1.0,14.94700732,14.94700732,0,0,0.0,False,False,True,False,False
371,1286,1286,1,0,21.532,19.43543138215892,19.43543138215892,2.096568617841079,1.107873531418791,1.0,14.93442414,14.93442414,0,0,0.0,False,False,True,False,False
372,1288,1288,1,0,60.63,38.04851367623367,38.04851367623367,22.581486323766335,1.5934919433625987,1.0,13.57300693,13.57300693,0,0,0.0,False,False,True,False,False
373,1292,1292,1,0,68.448,67.29452353708093,67.29452353708093,1.153476462919059,1.0171407181787009,1.0,14.76398626,14.76398626,0,0,0.0,False,False,True,False,False
374,1293,1293,1,0,125.631,118.90602471291483,118.90602471291484,6.724975287085172,1.0565570609506278,1.0000000000000002,13.71404467,13.71404467,0,0,0.0,False,False,True,False,False
375,1294,1294,1,0,20.297,16.258825817984107,16.258825817984107,4.038174182015894,1.2483681310829478,1.0,18.28429985,18.28429985,0,0,0.0,False,False,True,False,False
376,1295,1295,1,0,36.49,23.332527724425116,23.332527724425116,13.157472275574886,1.5639111386033537,1.0,17.0197926,17.0197926,0,0,0.0,False,False,True,False,False
377,1298,1298,1,0,121.255,107.32975580380136,107.32975580380136,13.925244196198634,1.1297426244186557,1.0,11.05305003,11.05305003,0,0,0.0,False,False,True,False,False
378,1299,1299,1,0,17.059,16.561937689156213,16.561937689156213,0.4970623108437877,1.030012328277822,1.0,11.30015739,11.30015739,0,0,0.0,False,False,True,False,False
379,1301,1301,3,2,31.929,27.698216206228736,29.23560461496897,4.230783793771263,1.1527457133799053,1.055504960943821,15.134944910000002,17.55843342,0,2,0.0,False,False,False,False,False
380,1302,1302,1,0,7.602,0.7194588240285135,0.7194588240285134,6.882541175971487,10.56627529763777,0.9999999999999999,17.70197593,17.70197593,0,0,0.0,False,True,True,False,False
381,1305,1305,1,0,174.724,138.85968377428205,138.85968377428205,35.86431622571794,1.258277386574031,1.0,9.472845402,9.472845402,0,0,0.0,False,False,True,False,False
382,1307,1307,2,1,27.358,21.00098400082282,25.00850758876914,6.357015999177179,1.3027008638703839,1.1908255150229772,14.869090305,17.34295712,0,1,0.0,False,False,False,False,False
383,1308,1308,2,1,13.448,6.22353227672479,13.295404174814927,7.22446772327521,2.1608307633100563,2.136311596637496,15.18280064,18.36505231,0,1,0.0,False,False,False,False,False
384,1311,1311,1,0,61.954,58.72197285465963,58.721972854659626,3.2320271453403677,1.055039485021047,0.9999999999999999,7.922532554,7.922532554,0,0,0.0,False,False,True,False,False
385,1313,1313,1,0,10.722,5.006664059115161,5.006664059115161,5.715335940884838,2.1415457225414323,1.0,9.417743546,9.417743546,0,0,0.0,False,False,True,False,False
386,1318,1318,1,0,98.125,92.92005434773512,92.92005434773512,5.2049456522648825,1.0560153100296992,1.0,9.654824022,9.654824022,0,0,0.0,False,False,True,False,False
387,1320,1320,2,1,28.987,28.5187844235211,28.545499003464595,0.46821557647889733,1.0164177957070546,1.0009367362769312,13.386737175,14.14407696,0,1,0.0,False,False,False,False,False
388,1321,1321,1,0,7.076,4.660543423546233,4.660543423546233,2.4154565764537663,1.5182778824139422,1.0,20.09660439,20.09660439,0,0,0.0,False,True,True,False,False
389,1322,1322,1,0,123.207,118.6845728348623,118.6845728348623,4.5224271651376995,1.0381045914992693,1.0,5.971849435,5.971849435,0,0,0.0,False,False,True,False,False
390,1324,1324,2,1,117.774,106.1290916427971,116.35251258312468,11.644908357202894,1.1097239991122945,1.0963300522229753,7.9188477625,9.83811856,0,1,0.0,False,False,False,False,False
391,1326,1326,2,1,95.437,93.1656919688092,93.30458887113626,2.2713080311907987,1.0243792321314074,1.0014908589137466,9.855114520499999,10.61723579,1,0,0.5,False,False,False,False,False
392,1327,1327,1,0,9.082,8.730104753192283,8.730104753192283,0.3518952468077181,1.0403082502164758,1.0,11.52731294,11.52731294,0,0,0.0,False,False,True,False,False
393,1332,1332,1,0,77.088,50.04352557553926,50.04352557553927,27.04447442446073,1.5404190474877288,1.0000000000000002,2.026240873,2.026240873,0,0,0.0,False,False,True,False,False
394,1333,1333,1,0,10.427,3.8168618000490397,3.81686180004904,6.61013819995096,2.7318253964201773,1.0000000000000002,2.268031634,2.268031634,0,0,0.0,False,True,True,False,False
395,1338,1338,1,0,172.367,160.3222120136283,160.3222120136283,12.044787986371688,1.0751286289971336,1.0,10.02795058,10.02795058,0,0,0.0,False,False,True,False,False
396,1339,1339,1,0,29.303,29.29674688440543,29.296746884405437,0.006253115594571312,1.0002134406123397,1.0000000000000002,7.309157703,7.309157703,0,0,0.0,False,False,True,False,False
397,1342,1342,1,0,44.217,43.69482122634383,43.69482122634383,0.5221787736561723,1.0119505872549799,1.0,7.879246482,7.879246482,0,0,0.0,False,False,True,False,False
398,1343,1343,1,0,0.0,0.0,0.0,0.0,,,7.879246482,7.879246482,0,0,0.0,True,True,True,False,False
399,1347,1347,1,0,173.481,163.78778545654498,163.78778545654498,9.693214543455014,1.0591815471247503,1.0,9.208878838,9.208878838,0,0,0.0,False,False,True,False,False
400,1348,1348,1,0,165.171,154.3704524191548,154.3704524191548,10.800547580845205,1.0699651222859605,1.0,11.78420066,11.78420066,0,0,0.0,False,False,True,False,False
401,1349,1349,1,0,212.872,206.8983185285984,206.8983185285984,5.973681471401619,1.0288725472197393,1.0,11.03014173,11.03014173,0,0,0.0,False,False,True,False,False
402,1351,1351,1,0,139.866,138.1672856689868,138.1672856689868,1.698714331013207,1.0122946204145813,1.0,11.07835872,11.07835872,0,0,0.0,False,False,True,False,False
403,1354,1354,1,0,246.523,239.87224046507097,239.87224046507097,6.650759534929023,1.027726257619616,1.0,9.064217072,9.064217072,0,0,0.0,False,False,True,False,False
404,1358,1358,1,0,110.128,107.84642472037817,107.84642472037817,2.2815752796218334,1.021155780412169,1.0,1.492777916,1.492777916,0,0,0.0,False,False,True,False,False
405,1359,1359,1,0,151.389,135.70553004559204,135.70553004559204,15.683469954407968,1.1155698662327092,1.0,12.48777764,12.48777764,0,0,0.0,False,False,True,False,False
406,1362,1362,1,0,86.704,83.96113205532032,83.96113205532032,2.7428679446796735,1.0326683058879251,1.0,15.12652673,15.12652673,0,0,0.0,False,False,True,False,False
407,1363,1363,2,1,24.706,23.565607524689494,23.594764208475713,1.140392475310506,1.0483922374636736,1.0012372557658729,16.199372585,17.91752418,0,1,0.0,False,False,False,False,False
408,1380,1380,1,0,135.556,131.05411563571764,131.05411563571764,4.501884364282375,1.03435133908191,1.0,12.06015994,12.06015994,0,0,0.0,False,False,True,False,False
409,1381,1381,2,1,16.389,10.13578857328803,13.29863780543511,6.253211426711969,1.6169437514898202,1.3120476723915184,12.97838788,13.36105253,0,1,0.0,False,False,False,False,False
410,1397,1397,1,0,138.557,128.49581930187026,128.49581930187026,10.061180698129732,1.0782996735052788,1.0,13.57271944,13.57271944,0,0,0.0,False,False,True,False,False
411,1400,1400,1,0,10.703,6.105111629342732,6.105111629342732,4.597888370657268,1.7531210975010902,1.0,16.7318264,16.7318264,0,0,0.0,False,False,True,False,False
412,1403,1403,2,1,11.814,4.184580505393584,9.665046996000916,7.629419494606416,2.823222061272979,2.309681217398842,12.80515977,14.10639992,0,1,0.0,False,True,False,False,False
413,1407,1407,1,0,106.182,102.43103343205797,102.43103343205796,3.7509665679420294,1.0366194349726054,0.9999999999999999,10.21947164,10.21947164,0,0,0.0,False,False,True,False,False
414,1408,1408,1,0,10.847,6.419478873046812,6.419478873046812,4.427521126953187,1.6897010200536415,1.0,11.83664741,11.83664741,0,0,0.0,False,False,True,False,False
415,1411,1411,1,0,9.981,3.9571729810045935,3.9571729810045935,6.023827018995407,2.5222551674923643,1.0,12.95613623,12.95613623,0,0,0.0,False,True,True,False,False
416,1415,1415,1,0,109.54,107.3112949319699,107.3112949319699,2.2287050680301093,1.020768597279932,1.0,11.39601425,11.39601425,0,0,0.0,False,False,True,False,False
417,1416,1416,1,0,17.999,7.432159578546299,7.432159578546299,10.5668404214537,2.421772542661218,1.0,13.23864996,13.23864996,0,0,0.0,False,False,True,False,False
418,1429,1429,1,0,177.932,171.5223609735443,171.5223609735443,6.409639026455693,1.0373691161320029,1.0,14.60714279,14.60714279,0,0,0.0,False,False,True,False,False
419,1431,1431,1,0,158.346,153.60736210548083,153.60736210548083,4.738637894519172,1.0308490285202945,1.0,16.93847987,16.93847987,0,0,0.0,False,False,True,False,False
420,1435,1435,1,0,44.142,43.552986498872244,43.55298649887224,0.5890135011277593,1.013524066854589,0.9999999999999999,15.60401397,15.60401397,0,0,0.0,False,False,True,False,False
421,1445,1445,1,0,6.449,4.58968114414347,4.58968114414347,1.8593188558565297,1.405108502630746,1.0,16.17426276,16.17426276,0,0,0.0,False,True,True,False,False
422,1451,1451,1,0,45.834,44.87657544885853,44.87657544885853,0.9574245511414716,1.021334617037179,1.0,15.02722568,15.02722568,0,0,0.0,False,False,True,False,False
423,1452,1452,1,0,7.102,6.848013580332184,6.848013580332184,0.2539864196678163,1.0370890648344036,1.0,11.38947757,11.38947757,0,0,0.0,False,False,True,False,False
424,1454,1454,1,0,6.084,5.938394480487647,5.938394480487648,0.1456055195123529,1.0245193410425635,1.0000000000000002,17.20998184,17.20998184,0,0,0.0,False,False,True,False,False
425,1461,1461,1,0,4.137,4.022003107785966,4.022003107785966,0.11499689221403386,1.0285919451408225,1.0,12.03387326,12.03387326,0,0,0.0,False,True,True,False,False
426,1463,1463,1,0,2.465,2.4452075575837724,2.4452075575837724,0.019792442416227463,1.0080943813357854,1.0,10.38927019,10.38927019,0,0,0.0,False,True,True,False,False
427,1468,1468,1,0,82.071,76.71107453924621,76.71107453924621,5.359925460753786,1.0698715992827292,1.0,16.14854545,16.14854545,0,0,0.0,False,False,True,False,False
428,1470,1470,1,0,51.669,50.879103106932384,50.879103106932384,0.7898968930676133,1.015524976755339,1.0,15.39878911,15.39878911,0,0,0.0,False,False,True,False,False
429,1472,1472,1,0,14.479,14.46848084648653,14.46848084648653,0.010519153513468993,1.0007270392534695,1.0,15.13234214,15.13234214,0,0,0.0,False,False,True,False,False
430,1477,1477,1,0,92.554,83.2984293245451,83.2984293245451,9.255570675454905,1.1111133877374038,1.0,14.36951713,14.36951713,0,0,0.0,False,False,True,False,False
431,1478,1478,1,0,9.148,4.9504692710239295,4.9504692710239295,4.19753072897607,1.8479056225124038,1.0,13.46027535,13.46027535,0,0,0.0,False,True,True,False,False
432,1502,1502,1,0,166.752,153.15219499530926,153.15219499530926,13.59980500469075,1.0887992823420343,1.0,12.07832781,12.07832781,0,0,0.0,False,False,True,False,False
433,1503,1503,1,0,96.499,96.24812848608495,96.24812848608494,0.2508715139150439,1.002606507969153,0.9999999999999999,13.16595921,13.16595921,0,0,0.0,False,False,True,False,False
434,1509,1509,1,0,228.352,209.27978258792226,209.27978258792223,19.072217412077748,1.0911326320021628,0.9999999999999999,10.20074535,10.20074535,0,0,0.0,False,False,True,False,False
435,1510,1510,1,0,191.225,188.74440985094944,188.74440985094944,2.480590149050556,1.0131425887050614,1.0,12.89125315,12.89125315,0,0,0.0,False,False,True,False,False
436,1511,1511,2,1,114.597,105.08624896710477,113.44569790869284,9.510751032895229,1.0905042393878992,1.0795484568509515,11.204645524,13.44525562,0,1,0.0,False,False,False,False,False
437,1512,1512,1,0,96.182,95.8438405945051,95.84384059450512,0.3381594054949062,1.0035282330444748,1.0000000000000002,6.321511668,6.321511668,0,0,0.0,False,False,True,False,False
438,1518,1518,1,0,92.631,91.52985305367156,91.52985305367156,1.1011469463284413,1.0120304677609693,1.0,8.659251106,8.659251106,0,0,0.0,False,False,True,False,False
439,1519,1519,1,0,136.657,136.00497848567392,136.00497848567392,0.6520215143260941,1.0047941003453398,1.0,16.84113885,16.84113885,0,0,0.0,False,False,True,False,False
440,1520,1520,1,0,73.894,72.0633201846212,72.0633201846212,1.8306798153788009,1.0254037672797858,1.0,20.23972363,20.23972363,0,0,0.0,False,False,True,False,False
441,1523,1523,1,0,91.552,69.81835231501114,69.81835231501114,21.733647684988867,1.3112884644846605,1.0,13.58054344,13.58054344,0,0,0.0,False,False,True,False,False
442,1524,1524,1,0,8.422,5.932043998370807,5.932043998370807,2.489956001629194,1.4197467183845978,1.0,13.23132446,13.23132446,0,0,0.0,False,False,True,False,False
443,1540,1540,1,0,405.493,398.2851760045688,398.2851760045688,7.20782399543117,1.0180971435285064,1.0,11.45557541,11.45557541,0,0,0.0,False,False,True,False,False
444,1542,1542,1,0,9.96,8.321034611104876,8.321034611104876,1.6389653888951248,1.1969665390777051,1.0,12.13516954,12.13516954,0,0,0.0,False,False,True,False,False
445,1549,1549,1,0,96.168,90.09155825076861,90.0915582507686,6.0764417492313925,1.067447404254211,0.9999999999999999,14.88423272,14.88423272,0,0,0.0,False,False,True,False,False
446,1551,1551,1,0,4.537,1.0618210773443617,1.0618210773443617,3.475178922655638,4.272847937194031,1.0,14.43956897,14.43956897,0,0,0.0,False,True,True,False,False
447,1556,1556,1,0,158.487,155.97273286019345,155.97273286019345,2.514267139806549,1.0161199146395685,1.0,9.490343992,9.490343992,0,0,0.0,False,False,True,False,False
448,1558,1558,1,0,23.255,22.827195710755873,22.827195710755877,0.4278042892441256,1.0187409918706112,1.0000000000000002,6.723558428,6.723558428,0,0,0.0,False,False,True,False,False
449,1560,1560,1,0,27.401,19.867371970482214,19.867371970482218,7.533628029517786,1.3791960024058951,1.0000000000000002,13.89234185,13.89234185,0,0,0.0,False,False,True,False,False
450,1563,1563,1,0,11.284,5.240651200268844,5.240651200268844,6.043348799731157,2.1531675299094766,1.0,14.82690636,14.82690636,0,0,0.0,False,False,True,False,False
451,1570,1570,2,1,12.943,5.0772032655602,7.173739008770402,7.865796734439799,2.5492380988161827,1.412931220900977,13.53445918,14.10328877,0,1,0.0,False,False,False,False,False
452,1576,1576,2,1,274.643,212.99779191555137,229.77151240808888,61.6452080844486,1.2894171227319082,1.0787506778435896,13.002804430000001,13.85375817,1,0,0.5,False,False,False,False,False
453,1577,1577,1,0,241.828,203.35934711979075,203.35934711979075,38.46865288020925,1.1891658948804007,1.0,18.63196405,18.63196405,0,0,0.0,False,False,True,False,False
454,1578,1578,1,0,38.066,35.75911985811739,35.75911985811739,2.3068801418826155,1.0645116588729169,1.0,20.67652949,20.67652949,0,0,0.0,False,False,True,False,False
455,1579,1579,1,0,2.753,0.4547570778377674,0.4547570778377674,2.298242922162233,6.053781533406108,1.0,19.48074995,19.48074995,0,0,0.0,False,True,True,False,False
456,1584,1584,1,0,21.591,14.39867400154216,14.39867400154216,7.192325998457841,1.499513080002194,1.0,20.12089649,20.12089649,0,0,0.0,False,False,True,False,False
457,1590,1590,1,0,16.264,12.387298414329432,12.387298414329434,3.876701585670567,1.3129577940244064,1.0000000000000002,20.5108481,20.5108481,0,0,0.0,False,False,True,False,False
458,1592,1592,1,0,152.609,151.01549882392655,151.01549882392655,1.5935011760734596,1.0105519048606486,1.0,8.815432965,8.815432965,0,0,0.0,False,False,True,False,False
459,1593,1593,1,0,31.381,31.299577824371372,31.29957782437137,0.08142217562862797,1.0026013825517235,0.9999999999999999,11.09187965,11.09187965,0,0,0.0,False,False,True,False,False
460,1595,1595,1,0,201.606,177.09209340339316,177.09209340339316,24.51390659660683,1.1384246248688656,1.0,11.44210456,11.44210456,0,0,0.0,False,False,True,False,False
461,1597,1597,1,0,232.171,215.59830964103753,215.59830964103756,16.57269035896246,1.0768683687110316,1.0000000000000002,9.277806247,9.277806247,0,0,0.0,False,False,True,False,False
462,1601,1601,1,0,177.908,175.52613187217486,175.52613187217486,2.381868127825129,1.0135698776154864,1.0,15.02136171,15.02136171,0,0,0.0,False,False,True,False,False
