sol,easting,northing,dist_m,tilt,final,straight_line
885,4349389.914,1095444.258,138.213,0.8026174089,y,135.55073822749523
886,4349389.084,1095443.429,4.351,0.9249142638,y,1.1730903630903473
896,4349292.044,1095551.393,169.856,1.623360484,y,145.165377745487
897,4349292.079,1095551.419,0.047,1.621185506,y,0.04360045887500956
899,4349297.883,1095553.268,6.214,2.104090682,y,6.0914051749318805
903,4349285.032,1095544.683,16.64,3.720415707,y,15.454786508326
905,4349258.868,1095550.714,127.433,5.1790037,y,26.850099757596393
907,4349251.969,1095546.078,0.0,8.079400009,m,8.311961080414527
907,4349255.475,1095542.421,0.0,2.644603095,m,5.066131166833516
907,4349255.927,1095537.294,21.343,3.457168295,y,5.146885757566299
909,4348981.092,1095587.148,0.0,6.637240948,m,279.3200646945803
909,4348861.62,1095591.332,473.956,2.249211078,y,119.54524097602179
911,4348866.022,1095600.257,0.0,1.182453027,m,9.951544050990167
911,4348861.055,1095600.474,20.862,0.2780323397,y,4.971737925690864
925,4348853.025,1095599.117,9.531,6.325871871,y,8.14385344838709
926,4348855.136,1095706.551,124.454,2.417772229,y,107.45473780608728
927,4348801.413,1095872.865,186.898,3.156603576,y,174.77559133079527
929,4348772.799,1095810.893,79.084,1.325535058,y,68.25899047020636
931,4348709.274,1095820.279,91.804,5.640115532,y,64.2146604828855
932,4348649.142,1095912.181,178.206,2.606372109,y,109.82638584614503
933,4348655.796,1095912.968,10.745,1.750287291,y,6.700379466963537
950,4348665.789,1095968.338,0.0,2.796182129,i,56.264526559656346
950,4348729.406,1096119.654,298.009,6.292896285,y,164.14522394849888
952,4348692.95,1096245.251,165.064,5.135456408,y,130.78090971153145
957,4348700.49,1096245.93,27.826,7.801613653,y,7.570511277355502
958,4348661.96,1096315.965,105.37,4.832745824,y,79.93411114812604
959,4348913.307,1096374.579,292.139,2.203845547,y,258.0909053124759
960,4348953.42,1096375.031,41.083,3.444263922,y,40.11554652490323
991,4348946.323,1096377.406,10.574,6.379812041,y,7.483851548564535
993,4348901.47,1096436.622,84.974,0.5403282147,y,74.28543777223405
994,4348895.513,1096561.914,144.854,8.513861796,y,125.43353264987333
997,4348868.729,1096510.06,0.0,2.606913784,i,58.36283039747487
997,4348788.218,1096490.184,160.545,6.377768346,y,82.92814056155437
998,4348769.519,1096465.495,79.079,10.92869248,y,30.970943188575692
999,4348646.427,1096314.344,226.551,3.520193471,y,194.93143734417345
1000,4348633.496,1096308.992,14.098,8.338063584,y,13.994808501585618
1001,4348617.964,1096298.588,136.402,8.51281195,y,18.69455107833027
1002,4348526.277,1096239.484,128.485,5.269637401,y,109.08615303965448
1004,4348520.04,1096243.725,7.741,7.009144708,y,7.542297395221533
1006,4348503.713,1096276.858,49.167,9.756387649,y,36.937333660954714
1007,4348382.319,1096148.716,207.204,3.458517712,y,176.51310263001972
1018,4348234.854,1096149.772,181.067,8.057655778,y,147.46878097060497
1019,4348262.356,1096146.926,108.504,4.66125218,y,27.648864713900625
1021,4348233.93,1096134.251,47.159,5.507035226,y,31.123834934016564
1041,4348107.088,1096142.308,202.477,1.597624656,y,127.09763260112118
1042,4348042.055,1096162.324,165.485,9.119633181,y,68.04359885470738
1043,4348030.896,1096167.262,0.0,3.150048419,m,12.202750714510103
1043,4348027.993,1096167.29,15.361,5.750889978,y,2.903135029516698
1045,4347984.75,1096151.9,0.0,3.997926592,i,45.899990729686714
1045,4347875.137,1096172.878,197.803,0.3171697526,y,111.60235773935126
1046,4347754.478,1096055.422,206.651,5.82436606,y,168.38796339702466
1047,4347670.482,1096043.398,93.779,5.01510777,y,84.85225154376123
1049,4347630.783,1096066.938,66.061,7.042391297,y,46.15346358620909
1052,4347576.55,1096077.669,0.0,5.40642676,i,55.28447024254577
1052,4347530.821,1096079.434,119.556,7.140952809,y,45.763049132901486
1055,4347530.835,1096079.426,0.016,7.102583232,y,0.016124515020669746
1059,4347528.126,1096078.802,2.781,12.28966326,y,2.779938308487455
1063,4347549.332,1096086.841,22.695,4.127491898,y,22.678623349132522
1066,4347540.981,1096094.153,16.282,2.90087547,y,11.099754277049204
1068,4347541.076,1096097.068,3.531,8.524216221,y,2.9165476166770516
1084,4347540.303,1096097.791,5.53,9.219092761,y,1.058422410980804
1092,4347539.049,1096095.837,2.445,9.92735634,y,2.3217734603735503
1096,4347502.735,1096114.942,52.053,13.212534,y,41.033006481971384
1100,4347486.505,1096106.498,33.22,8.888875372,y,18.295191609184517
1101,4347450.991,1096039.1,92.764,1.207590471,y,76.18224596281725
1102,4347437.457,1096037.272,33.847,3.198803237,y,13.656893497407152
1103,4347393.291,1096040.42,52.452,8.059414141,y,44.27804715676364
1106,4347392.339,1096040.721,0.999,10.55381245,y,0.9984513012487748
1108,4347369.785,1096036.594,0.0,4.805810425,m,22.928476726072
1108,4347364.412,1096024.588,56.591,4.473813588,y,13.153446886947068
1109,4347334.516,1096047.789,41.164,6.820156087,y,37.842531852249486
1110,4347315.892,1096046.3,23.942,5.214819308,y,18.68342840578442
1114,4347292.009,1096056.365,29.566,3.18692952,y,25.917212697684626
1115,4347264.3,1096017.69,51.252,7.18895478,y,47.576720210544714
1116,4347214.252,1096018.387,54.543,12.92591277,y,50.05285319488556
1117,4347219.813,1095961.222,64.282,8.229416359,y,57.43484957759988
1118,4347216.741,1095927.485,53.425,3.811330069,y,33.87657528434265
1120,4347186.335,1095915.31,0.0,3.937390996,m,32.75294583738934
1120,4347168.277,1095902.644,56.974,7.073899721,y,22.057173889829905
1122,4347150.671,1095950.008,70.97,7.827420174,y,50.530384245247035
1124,4347147.768,1095960.374,34.469,10.87294931,y,10.764820713918827
1129,4347147.442,1095960.21,2.537,12.07147883,y,0.3649273903986101
1131,4347138.924,1095952.734,15.121,8.837505094,y,11.333441666282468
1134,4347118.404,1095980.475,0.0,4.53350091,m,34.505557247930824
1134,4347118.079,1095985.498,58.139,5.905436606,y,5.033503153692381
1136,4347087.674,1095991.228,0.0,5.964147075,m,30.94021533563792
1136,4347082.141,1095992.622,38.681,4.096420801,y,5.70590264535466
1137,4347056.788,1095992.33,0.0,6.693832577,m,25.354681481059586
1137,4347049.993,1095989.305,34.043,8.829568763,y,7.437919736043987
1138,4347026.053,1095984.367,0.0,8.931470475,m,24.443965389714055
1138,4347023.339,1095983.161,28.134,12.30720953,y,2.969887540525759
1140,4346990.935,1095983.048,0.0,4.669351078,m,32.40419702764298
1140,4346979.154,1095981.898,46.692,3.573705339,y,11.836995437519116
1142,4346914.875,1095989.362,70.434,15.75000756,y,64.71090431303874
